town,year,total2012
St. Jacob,2012,1412
St. Johns,2012,164
St. Joseph,2012,3804
St. Libory,2012,619
St. Peter,2012,300
Salem,2012,7407
Sammons Point,2012,294
Sandoval,2012,1104
Sandwich,2012,7563
San Jose,2012,643
Sauget,2012,221
Sauk Village,2012,10473
Saunemin,2012,326
Savanna,2012,2967
Savoy,2012,6989
Sawyerville,2012,251
Saybrook,2012,759
Scales Mound,2012,423
Schaumburg,2012,74276
Schiller Park,2012,11782
Schram City,2012,426
Sciota,2012,83
Scott AFB,2012,3822
Scottville,2012,130
Seaton,2012,296
Seatonville,2012,281
Secor,2012,452
Seneca,2012,2476
Sesser,2012,2083
Seymour,2012,264
Shabbona,2012,884
Shannon,2012,851
Shawneetown,2012,1213
Sheffield,2012,1021
Shelbyville,2012,5267
Sheldon,2012,991
Sheridan,2012,1522
Sherman,2012,3893
Sherrard,2012,834
Shiloh,2012,12726
Shipman,2012,816
Shorewood,2012,15611
Shumway,2012,150
Sibley,2012,343
Sidell,2012,665
Sidney,2012,1215
Sigel,2012,317
Silvis,2012,7474
Simpson,2012,103
Sims,2012,346
Skokie,2012,64588
Sleepy Hollow,2012,3348
Smithboro,2012,134
Smithfield,2012,301
Smithton,2012,3648
Somonauk,2012,2201
Sorento,2012,691
South Barrington,2012,4738
South Beloit,2012,7917
South Chicago Heights,2012,4123
South Elgin,2012,21873
Southern View,2012,1822
South Holland,2012,21994
South Jacksonville,2012,3330
South Pekin,2012,1226
South Roxana,2012,2240
South Wilmington,2012,617
Sparland,2012,455
Sparta,2012,4307
Spaulding,2012,858
Spillertown,2012,207
Spring Bay,2012,592
Springerton,2012,94
Springfield,2012,115982
Spring Grove,2012,5452
Spring Valley,2012,5530
Standard,2012,261
Standard City,2012,195
Stanford,2012,783
Staunton,2012,4989
Steeleville,2012,1989
Steger,2012,9629
Sterling,2012,15367
Steward,2012,294
Stewardson,2012,775
Stickney,2012,6731
Stillman Valley,2012,1018
Stockton,2012,1922
Stonefort,2012,292
Stone Park,2012,4942
Stonington,2012,816
Stoy,2012,110
Strasburg,2012,658
Strawn,2012,128
Streamwood,2012,40201
Streator,2012,13068
Stronghurst,2012,1045
Sublette,2012,393
Sugar Grove,2012,8831
Sullivan,2012,4462
Summerfield,2012,468
Summit,2012,11166
Sumner,2012,5073
Sun River Terrace,2012,399
Swansea,2012,13495
Sycamore,2012,17505
Symerton,2012,67
Table Grove,2012,438
Tallula,2012,596
Tamaroa,2012,758
Tamms,2012,765
Tampico,2012,867
Taylor Springs,2012,594
Taylorville,2012,11768
Tennessee,2012,172
Teutopolis,2012,1817
Thawville,2012,166
Thayer,2012,555
Thebes,2012,479
The Galena Territory,2012,979
Third Lake,2012,1448
Thomasboro,2012,1082
Thompsonville,2012,689
Thomson,2012,675
Thornton,2012,2718
Tilden,2012,780
Tilton,2012,2717
Timberlane,2012,1118
Time,2012,21
Tinley Park,2012,56340
Tiskilwa,2012,870
Toledo,2012,1119
Tolono,2012,3474
Toluca,2012,1366
Tonica,2012,850
Topeka,2012,41
Toulon,2012,1286
Tovey,2012,492
Towanda,2012,586
Tower Hill,2012,816
