long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-88.038188,41.910275,101,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032618,41.910229,102,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032607,41.911651,103,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.03489,41.911742,104,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032595,41.913502,105,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032638,41.917324,106,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.040934,41.919904,107,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.041941,41.918234,108,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.045368,41.918409,109,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.045209,41.920054,110,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.040995,41.919926,111,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.042434,41.920387,112,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.042462,41.923527,113,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.051999,41.923229,114,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
