town,year,pop2015
Peotone,2015,3990
Percy,2015,854
Perry,2015,329
Peru,2015,10019
Pesotum,2015,520
Petersburg,2015,2357
Phillipstown,2015,30
Philo,2015,1737
Phoenix,2015,2088
Pierron,2015,460
Pinckneyville,2015,5450
Pingree Grove,2015,5460
Piper City,2015,825
Pistakee Highlands,2015,3212
Pittsburg,2015,559
Pittsfield,2015,4611
Plainfield,2015,40855
Plainville,2015,417
Plano,2015,11920
Plattville,2015,274
Pleasant Hill,2015,1110
Pleasant Plains,2015,904
Plymouth,2015,429
Pocahontas,2015,631
Polo,2015,2172
Pontiac,2015,12085
Pontoon Beach,2015,5840
Pontoosuc,2015,94
Poplar Grove,2015,5258
Port Barrington,2015,1451
Port Byron,2015,1708
Posen,2015,6319
Potomac,2015,700
Prairie City,2015,508
Prairie du Rocher,2015,694
Prairie Grove,2015,1685
Prestbury,2015,1580
Preston Heights,2015,2907
Princeton,2015,7719
Princeville,2015,2024
Prophetstown,2015,2150
Prospect Heights,2015,16370
Pulaski,2015,182
Quincy,2015,40763
Radom,2015,163
Raleigh,2015,306
Ramsey,2015,1274
Rankin,2015,393
Ransom,2015,354
Rantoul,2015,13256
Rapids City,2015,1047
Raritan,2015,93
Raymond,2015,781
Red Bud,2015,3623
Reddick,2015,353
Redmon,2015,124
Rentchler,2015,0
Reynolds,2015,451
Richmond,2015,1989
Richton Park,2015,13744
Richview,2015,203
Ridge Farm,2015,838
Ridgway,2015,804
Ridott,2015,155
Ringwood,2015,791
Rio,2015,204
Ripley,2015,94
Riverdale,2015,13106
River Forest,2015,11233
River Grove,2015,10260
Riverside,2015,8859
Riverton,2015,3478
Riverwoods,2015,3811
Roanoke,2015,2189
Robbins,2015,5157
Roberts,2015,311
Robinson,2015,7506
Rochelle,2015,9440
Rochester,2015,3883
Rockbridge,2015,180
Rock City,2015,288
Rockdale,2015,2061
Rock Falls,2015,9178
Rockford,2015,150283
Rock Island,2015,38946
Rock Island Arsenal,2015,131
Rockton,2015,7567
Rockwood,2015,63
Rolling Meadows,2015,23401
Rome,2015,1831
Romeoville,2015,39774
Roodhouse,2015,1788
Roscoe,2015,10536
Rose Hill,2015,50
Roselle,2015,22979
Rosemont,2015,4305
Roseville,2015,1135
Rosewood Heights,2015,4051
Rosiclare,2015,950
Rossville,2015,1675
Round Lake,2015,18446
Round Lake Beach,2015,27966
Round Lake Heights,2015,2908
Round Lake Park,2015,7957
Roxana,2015,1653
Royal,2015,231
Royal Lakes,2015,155
Royalton,2015,1177
Ruma,2015,293
Rushville,2015,3159
Russellville,2015,61
Rutland,2015,256
Sadorus,2015,394
Sailor Springs,2015,90
St. Anne,2015,1422
St. Augustine,2015,120
St. Charles,2015,33685
St. David,2015,609
St. Elmo,2015,1340
Ste. Marie,2015,275
St. Francisville,2015,440
St. Jacob,2015,1226
St. Johns,2015,224
St. Joseph,2015,4302
St. Libory,2015,625
St. Peter,2015,303
Salem,2015,7054
Sammons Point,2015,379
Sandoval,2015,1196
Sandwich,2015,7540
San Jose,2015,601
Sauget,2015,219
Sauk Village,2015,10540
Saunemin,2015,348
Savanna,2015,2980
Savoy,2015,8066
Sawyerville,2015,264
Saybrook,2015,785
Scales Mound,2015,518
Schaumburg,2015,74559
Schiller Park,2015,11834
Schram City,2015,473
Sciota,2015,86
Scott AFB,2015,2982
Scottville,2015,68
Seaton,2015,236
Seatonville,2015,311
Secor,2015,355
Seneca,2015,2521
Sesser,2015,1959
Seymour,2015,373
Shabbona,2015,936
Shannon,2015,625
Shawneetown,2015,1330
Sheffield,2015,760
Shelbyville,2015,4964
Sheldon,2015,1222
Sheridan,2015,2320
Sherman,2015,4565
Sherrard,2015,759
Shiloh,2015,12902
Shipman,2015,679
Shorewood,2015,16354
Shumway,2015,188
Sibley,2015,355
Sidell,2015,598
Sidney,2015,1300
Sigel,2015,394
Silvis,2015,7522
Simpson,2015,103
Sims,2015,313
Skokie,2015,65061
Sleepy Hollow,2015,3337
Smithboro,2015,169
Smithfield,2015,187
Smithton,2015,3827
Somonauk,2015,2128
Sorento,2015,527
South Barrington,2015,4835
South Beloit,2015,8131
South Chicago Heights,2015,4152
South Elgin,2015,22227
Southern View,2015,2010
South Holland,2015,22124
South Jacksonville,2015,3299
South Pekin,2015,1175
South Roxana,2015,2362
South Wilmington,2015,770
Sparland,2015,395
Sparta,2015,4371
Spaulding,2015,773
Spillertown,2015,250
Spring Bay,2015,502
Springerton,2015,120
Springfield,2015,117061
Spring Grove,2015,5510
Spring Valley,2015,5405
Standard,2015,235
Standard City,2015,214
Stanford,2015,688
Staunton,2015,4965
Steeleville,2015,2171
Steger,2015,9563
Sterling,2015,15170
Steward,2015,338
Stewardson,2015,757
Stickney,2015,6804
Stillman Valley,2015,1048
Stockton,2015,1931
Stonefort,2015,404
Stone Park,2015,4947
Stonington,2015,957
Stoy,2015,164
Strasburg,2015,550
Strawn,2015,109
Streamwood,2015,40865
Streator,2015,12990
Stronghurst,2015,811
Sublette,2015,413
Sugar Grove,2015,9195
Sullivan,2015,4600
Summerfield,2015,581
Summit,2015,11447
Sumner,2015,5988
Sun River Terrace,2015,450
Swansea,2015,13869
Sycamore,2015,17572
Symerton,2015,107
Table Grove,2015,365
Tallula,2015,445
Tamaroa,2015,494
Tamms,2015,827
Tampico,2015,684
Taylor Springs,2015,556
Taylorville,2015,11068
Tennessee,2015,131
Teutopolis,2015,1793
Thawville,2015,192
Thayer,2015,726
Thebes,2015,372
The Galena Territory,2015,996
Third Lake,2015,1246
Thomasboro,2015,1230
Thompsonville,2015,735
Thomson,2015,736
Thornton,2015,2615
Tilden,2015,687
Tilton,2015,2669
Timberlane,2015,937
Time,2015,21
Tinley Park,2015,57176
Tiskilwa,2015,898
Toledo,2015,1309
Tolono,2015,3066
Toluca,2015,1332
Tonica,2015,771
Topeka,2015,82
Toulon,2015,1336
Tovey,2015,483
Towanda,2015,561
