town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Country Club Hills,Country Club Hills,2013,,,,2,0,2,2,2,0,"16,659",0,0.12,0.12
Country Club Hills,Country Club Hills,2015,,,,1,0,1,1,1,0,"16,806",0,0.06,0.06
Countryside,Countryside,2012,3,0,3,1,0,1,4,4,0,"5,905",0.51,0.17,0.68
Countryside,Countryside,2013,3,1,2,3,0,3,6,5,1,"5,929",0.51,0.51,1.01
Countryside,Countryside,2014,3,0,3,4,0,4,7,7,0,"5,974",0.5,0.67,1.17
Countryside,Countryside,2015,3,0,3,4,0,4,7,7,0,"5,984",0.5,0.67,1.17
Crest Hill,Crest Hill,2012,3,0,3,,,,3,3,0,"20,724",0.14,0,0.14
Crest Hill,Crest Hill,2013,1,0,1,4,1,3,5,4,1,"20,872",0.05,0.19,0.24
Crest Hill,Crest Hill,2014,1,0,1,2,1,1,3,2,1,"20,444",0.05,0.1,0.15
Crest Hill,Crest Hill,2015,,,,3,2,1,3,1,2,"20,479",0,0.15,0.15
Crestwood,Crestwood,2012,1,0,1,5,0,4,6,5,0,"10,951",0.09,0.46,0.55
Crestwood,Crestwood,2013,3,0,3,2,0,2,5,5,0,"11,002",0.27,0.18,0.45
Crestwood,Crestwood,2014,3,0,2,1,0,1,4,3,0,"11,006",0.27,0.09,0.36
Crestwood,Crestwood,2015,,,,4,0,4,4,4,0,"11,027",0,0.36,0.36
Crete,Crete,2012,,,,2,1,1,2,1,1,"8,336",0,0.24,0.24
Crete,Crete,2013,,,,2,0,2,2,2,0,"8,283",0,0.24,0.24
Crete,Crete,2014,1,0,0,,,,1,0,0,"8,284",0.12,0,0.12
Crete,Crete,2015,2,0,2,,,,2,2,0,"8,246",0.24,0,0.24
Crystal Lake,Crystal Lake,2012,14,1,12,8,0,7,22,19,1,"40,867",0.34,0.2,0.54
Crystal Lake,Crystal Lake,2013,13,0,11,7,0,7,20,18,0,"40,609",0.32,0.17,0.49
Crystal Lake,Crystal Lake,2014,9,0,9,11,0,10,20,19,0,"40,598",0.22,0.27,0.49
Crystal Lake,Crystal Lake,2015,11,0,11,10,1,9,21,20,1,"40,635",0.27,0.25,0.52
Darien,Darien,2012,4,0,4,2,1,1,6,5,1,"22,163",0.18,0.09,0.27
Darien,Darien,2013,5,0,4,4,0,4,9,8,0,"22,206",0.23,0.18,0.41
Darien,Darien,2014,7,0,7,2,0,2,9,9,0,"22,251",0.31,0.09,0.4
Darien,Darien,2015,1,0,1,3,1,2,4,3,1,"22,263",0.04,0.13,0.18
Deerfield,Deerfield,2012,6,0,6,4,0,4,10,10,0,"18,452",0.33,0.22,0.54
Deerfield,Deerfield,2013,6,0,5,2,0,2,8,7,0,"18,408",0.33,0.11,0.43
Deerfield,Deerfield,2014,5,0,4,1,0,1,6,5,0,"18,476",0.27,0.05,0.32
Deerfield,Deerfield,2015,8,0,8,2,0,2,10,10,0,"18,588",0.43,0.11,0.54
Des Plaines,Des Plaines,2012,20,0,20,27,2,24,47,44,2,"58,302",0.34,0.46,0.81
Des Plaines,Des Plaines,2013,21,1,19,20,1,19,41,38,2,"58,569",0.36,0.34,0.7
Des Plaines,Des Plaines,2014,15,0,15,19,1,18,34,33,1,"58,802",0.26,0.32,0.58
Des Plaines,Des Plaines,2015,21,1,20,21,3,17,42,37,4,"58,930",0.36,0.36,0.71
Dixmoor,Dixmoor,2012,1,0,1,,,,1,1,0,"3,643",0.27,0,0.27
Dixmoor,Dixmoor,2013,,,,1,0,1,1,1,0,"3,633",0,0.28,0.28
